ID,publication_date,extracted_url,best_common,best_common_prob,best_full,best_full_prob,best_name,best_name_prob,article_count
25753716,2015-01-01,http://www.glyco3d.cermav.cnrs.fr,Glyco3D,0.945883989,,0,Glyco3D,0.945883989,1
26314736,2015-08-28,http://www.glycomob.org,GlycoMob,0.989852786,,0,GlycoMob,0.989852786,1
30357361,2019-01-01,http://www.glycosciences.de/database,Glycosciences.DB,0.974128564,,0,Glycosciences.DB,0.974128564,1
34611863,2022-01-01,"http://www.glycostore.org, http://unicarbkb.freshdesk.com",GlycoStore,0.997020781040192,,0,GlycoStore,0.997020781,1
38506570,2023-11-01,http://www.godac.jamstec.go.jp/bismal/e,BISMaL,0.995663344860077,arine biodiversity database,0.862078567345937,BISMaL,0.995663345,1
29483591,2018-02-26,http://www.gourdbase.cn,GourdBase,0.99763602,,0,GourdBase,0.99763602,1
24304901,2013-12-03,http://www.gpcr.org/7tm,GPCRDB,0.998344004,protein-coupled receptors database,0.987734778,GPCRDB,0.998344004,1
34378141,2021-08-06,http://www.gpgenome.com,GPGD,0.995944738,Global Pharmacopoeia Genome Database,0.966468737,GPGD,0.995944738,1
36416261,2023-01-01,http://www.gpsadb.com,GPSAdb,0.991291881,perturbation database,0.611263483762741,GPSAdb,0.9912918806,1
"20931385, 24217918, 28713666, 29165610, 33170273, 22374386",2021-01-01,http://www.gramene.org,Gramene,0.975419879,Gramene Database,0.524727866,Gramene,0.975419879,6
24280345,2013-05-29,http://www.gramene.org/pathway,RiceCyc,0.990686595,,0,RiceCyc,0.990686595,1
35789395,2022-08-01,http://www.grassgenome.com,GGDB,0.993183851242065,,0,GGDB,0.993183851,1
33237299,2021-01-01,http://www.greenphyl.org,GreenPhylDB,0.997109532,,0,GreenPhylDB,0.997109532,1
33151298,2021-01-01,http://www.grndb.com,GRNdb,0.997971952,,0,GRNdb,0.997971952,1
26066708,2015-06-12,http://www.grnpedia.org/trrust,TRRUST,0.997621059,regulatory relationships,0.536692739,TRRUST,0.997621059,1
28365739,2017-01-01,http://www.grtedb.org,GrTEdb,0.997847676,Gossypium raimondii transposable elements database,0.843352804,GrTEdb,0.997847676,1
24428872,2014-01-15,http://www.GuavaH.org,GuavaH,0.995271742,,0,GuavaH,0.995271742,1
37555633,2023-08-09,http://www.guomics.com/covidPro,COVIDpro,0.99794614315033,,0,COVIDpro,0.997946143,1
25656309,2015-01-17,http://www.gurupi.uft.edu.br/btoxdb,BtoxDB,0.996941984,,0,BtoxDB,0.996941984,1
"36350644, 24301061, 31612961",2023-01-01,http://www.gwascentral.org,GWAS Central,0.977628668,,0,GWAS Central,0.977628668,3
35662458,2022-04-27,http://www.gwyre.org,GWYRE,0.990825593471527,Genome Wide PhYRE,0.958954649312156,GWYRE,0.990825593,1
30395284,2019-01-01,http://www.haemosphere.org,Haemopedia,0.996026993,,0,Haemopedia,0.996026993,1
33259604,2020-12-01,http://www.hahmirdb.in,HAHmiR.DB,0.977624993,High-Altitude Human miRNA Database,0.911724165,HAHmiR.DB,0.977624993,1
29796383,2018-01-15,http://www.halodom.bio.auth.gr,HaloDom,0.946077734,,0,HaloDom,0.946077734,1
26510927,2015-10-28,http://www.handdatabase.org,HAND,0.570083857,,0,HAND,0.570083857,1
34803258,2020-11-30,http://www.hccbif.org/usersearch.php,DaiCee,0.974195957,,0,DaiCee,0.974195957,1
27527702,2016-08-15,http://www.hcvivdb.org,HCVIVdb,0.992048419,HCV IRES variation database,0.664026876,HCVIVdb,0.992048419,1
33382886,2020-12-01,http://www.healthdisparityinformatics.com/MetSRR,MetSRR,0.996502876,Metabolic Syndrome Research Resource,0.966591418,MetSRR,0.996502876,1
33382884,2020-12-01,http://www.heartbioportal.com,HeartBioPortal,0.983459532,,0,HeartBioPortal,0.983459532,1
36450875,2022-11-30,http://www.helianthome.org,HeliantHOME,0.994782984256744,,0,HeliantHOME,0.994782984,1
27164589,2016-05-03,http://www.helsinki.fi/psychology/groups/visualcognition,CVD2014,0.991893431,,0,CVD2014,0.991893431,1
32179762,2020-03-16,http://www.hepamine.de,Hepamine,0.994047046,,0,Hepamine,0.994047046,1
27337171,2016-06-23,http://www.herbbol.org:8001/tarnet,TarNet,0.9843418,,0,TarNet,0.9843418,1
"22948725, 24077912, 28349240",2017-03-27,http://www.hgmd.org,HGMD,0.993344128,Human Gene Mutation Database,0.954743373,HGMD,0.993344128,3
22140100,2011-12-02,http://www.HGPD.jp,HGPD,0.996275783,Human Gene and Protein Database,0.967167735,HGPD,0.996275783,1
27733501,2016-10-12,"http://www.hipsci.org/lines, http://www.hipsci.org/data/trackhubs",HipSci,0.994878662,Human Induced Pluripotent Stem Cell Initiative,0.975116302,HipSci,0.994878662,1
26212453,2015-07-23,http://www.histoneantibodies.com,,0,Histone Antibody Specificity Database,0.951532856,Histone Antibody Specificity Database,0.951532856,1
22792232,2012-07-05,http://www.hmpdacc-resources.org/imgm_hmp,IMG/M,0.961702744,Integrated Microbial Genomes and Metagenomes,0.979933851,Integrated Microbial Genomes and Metagenomes,0.979933851,1
"27899581, 22139932",2016-11-28,http://www.hmtdb.uniba.it,HmtDB,0.998390019,,0,HmtDB,0.998390019,2
30371888,2019-01-01,http://www.hmtvar.uniba.it,HmtVar,0.997302175,,0,HmtVar,0.997302175,1
26578596,2015-11-17,http://www.hpmcd.org,HPMC,0.989222422,Human Pan-Microbe Communities,0.749896427,HPMC,0.989222422,1
22102573,2011-11-18,http://www.hpppi.iicb.res.in/btox,DBETH,0.990900735,Database for Bacterial ExoToxins,0.92325345,DBETH,0.990900735,1
24217912,2013-11-11,http://www.human-phenotype-ontology.org,HPO,0.964736124,The Human Phenotype Ontology project,0.657915694,HPO,0.964736124,1
35820040,2022-07-01,http://www.humanmine.org,HumanMine,0.984314322471619,,0,HumanMine,0.984314322,1
23504933,2013-03-01,"http://www.humanproteinpedia.org, http://www.hprd.org",Human Proteinpedia,0.979407251,,0,Human Proteinpedia,0.979407251,1
38028612,2023-11-10,http://www.hxdsjzx.cn/DASES,DASES,0.993409097194672,,0,DASES,0.993409097,1
36026437,2022-08-26,http://www.hypdb.site,HypDB,0.98925793170929,,0,HypDB,0.989257932,1
