ID,best_name,best_name_prob,best_common,best_common_prob,best_full,best_full_prob,article_count,publication_date,extracted_url,extracted_url_status,extracted_url_country,extracted_url_coordinates,wayback_url
20949389,ACSR,0.963491698,ACSR,0.963491698,AIDS and Cancer Specimen Resource,0.931551437,1,2011-01-01,http://acsr.ucsf.edu,302,US,"(37.7749,-122.4194)",None
21148158,AID-Net,0.68992514,AID-Net,0.68992514,,0,1,2011-01-01,http://www.aid-register.uk-essen.de,"HTTPConnectionPool(host='www.aid-register.uk-essen.de', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ed4b1998c10>: Failed to establish a new connection: [Errno -2] Name or service not known'))",,,None
21389154,16SpathDB,0.996311396,16SpathDB,0.996311396,,0,1,2011-03-09,http://147.8.74.24/16SpathDB,"HTTPConnectionPool(host='147.8.74.24', port=80): Pool is closed.",,,None
21498548,Allie,0.968772352,Allie,0.968772352,,0,1,2011-04-15,http://allie.dbcls.jp,"HTTPConnectionPool(host='allie.dbcls.jp', port=80): Pool is closed.",,,None
21880703,AluHunter,0.993216336,AluHunter,0.993216336,,0,1,2011-08-31,http://www.aluhunter.com,404,,,None
21904438,Antagomir,0.96470964,Antagomir,0.96470964,,0,1,2011-08-20,http://bioinfopresidencycollegekolkata.edu.in/antagomirs.html,"HTTPConnectionPool(host='bioinfopresidencycollegekolkata.edu.in', port=80): Max retries exceeded with url: /antagomirs.html (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ed4b1927130>: Failed to establish a new connection: [Errno -2] Name or service not known'))",,,None
22039151,ALFRED,0.992198706,ALFRED,0.992198706,,0,1,2011-10-28,http://alfred.med.yale.edu,301,US,"(39.0437,-77.4875)",None
22067098,ApoptoProteomics,0.990143538,ApoptoProteomics,0.990143538,,0,1,2011-11-08,http://apoptoproteomics.uio.no,"HTTPConnectionPool(host='apoptoproteomics.uio.no', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ed4b19acd00>: Failed to establish a new connection: [Errno 113] No route to host'))",,,None
22080511,ADHDgene,0.933751583,ADHDgene,0.933751583,,0,1,2011-11-10,http://adhd.psych.ac.cn,"HTTPConnectionPool(host='adhd.psych.ac.cn', port=80): Pool is closed.",,,None
22084200,AH-DB,0.99563925,AH-DB,0.99563925,Apo-Holo DataBase,0.77852336,1,2011-11-13,"http://ahdb.ee.ncku.edu.tw/, http://ahdb.csbb.ntu.edu.tw","200, HTTPConnectionPool(host='ahdb.csbb.ntu.edu.tw', port=80): Pool is closed.","TW, ","(22.9908,120.2133), ","None, None"
22345505,Arabidopsis Network Analysis Pipeline,0.910027817,ANAP,0.893375516,Arabidopsis Network Analysis Pipeline,0.910027817,1,2012-02-16,http://gmdd.shgmo.org/Computational-Biology/ANAP,200,US,"(32.7157,-117.1647)",None
22434840,Aptamer Base,0.971290752,Aptamer Base,0.971290752,,0,1,2012-03-20,http://aptamer.freebase.com,404,,,None
22559261,AlliumMap,0.986065328,AlliumMap,0.986065328,,0,1,2012-05-04,http://alliumgenetics.org,"HTTPConnectionPool(host='alliumgenetics.org', port=80): Max retries exceeded with url: / (Caused by ProtocolError('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')))",,,None
22647208,AlzPathway,0.996937859,AlzPathway,0.996937859,,0,1,2012-05-30,http://alzpathway.org,200,JP,"(35.6895,139.6917)",None
22659196,Alkamid,0.985504031,Alkamid,0.985504031,,0,1,2012-05-30,http://alkamid.ugent.be,404,,,None
22682155,AFFINOMICS,0.97896564,AFFINOMICS,0.97896564,,0,1,2012-06-01,http://www.affinomics.org,200,US,"(37.7621,-122.3971)",None
"22753137, 21702733",ALSoD,0.907861531,ALSoD,0.907861531,Online Database,0.633407295,2,2012-07-16,http://alsod.iop.kcl.ac.uk,301,GB,"(51.5085,-0.1257)",None
