ID,best_name,best_name_prob,best_common,best_common_prob,best_full,best_full_prob,article_count,publication_date,extracted_url,extracted_url_status,extracted_url_country,extracted_url_coordinates,wayback_url
23299413,ERISdb,0.825776637,ERISdb,0.825776637,,0,1,2013-01-07,http://lemur.amu.edu.pl/share/ERISdb,301,Poland,"(52.4476,16.9155)",no_wayback
23452239,LjGEA,0.995089054,LjGEA,0.995089054,Lotus japonicus Gene Expression Atlas,0.94991678,1,2013-03-04,http://ljgea.noble.org,"HTTPConnectionPool(host='ljgea.noble.org', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7bb29f063b80>: Failed to establish a new connection: [Errno -2] Name or service not known'))",,,http://web.archive.org/web/20221024001344/https://ljgea.noble.org/
23584836,hLGDB,0.994743705,hLGDB,0.994743705,Human Lysosome Gene Database,0.979168455,1,2013-04-12,http://lysosome.unipg.it,200,Italy,"(43.1108,12.398)",http://web.archive.org/web/20240304025318/http://lysosome.unipg.it/
23599502,INstruct,0.997730315,INstruct,0.997730315,,0,1,2013-04-18,http://instruct.yulab.org,200,US,"(42.4406,-76.4966)",no_wayback
23601370,LiverAtlas,0.997491121,LiverAtlas,0.997491121,,0,1,2013-04-21,http://liveratlas.hupo.org.cn,200,China,"(39.911,116.395)",http://web.archive.org/web/20221007220610/http://liveratlas.hupo.org.cn/
23658631,MabsBase,0.996929765,MabsBase,0.996929765,,0,1,2013-04-29,http://mabscessus.um.edu.my,200,Malaysia,"(3.1192,101.6578)",http://web.archive.org/web/20231115055628/http://mabscessus.um.edu.my/
23757396,FSRD,0.955492318,FSRD,0.955492318,Fungal Stress Response Database,0.942606161,1,2013-06-11,http://internal.med.unideb.hu/fsrd,"HTTPConnectionPool(host='internal.med.unideb.hu', port=80): Pool is closed.",,,no_wayback
24030781,IQdb,0.993846714,IQdb,0.993846714,,0,1,2013-09-11,http://IQdb.cbi.pku.edu.cn,"HTTPConnectionPool(host='iqdb.cbi.pku.edu.cn', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7bb29f117a60>: Failed to establish a new connection: [Errno -2] Name or service not known'))",,,http://web.archive.org/web/20150122215647/http://iqdb.cbi.pku.edu.cn:80/
24194603,dbPSHP,0.997607529,dbPSHP,0.997607529,,0,1,2013-11-04,http://jjwanglab.org/dbpshp,404,,,http://web.archive.org/web/20200122190847/http://jjwanglab.org:80/dbpshp
24220091,RNA Bricks,0.949595173,RNA Bricks,0.949595173,,0,1,2013-11-12,http://iimcb.genesilico.pl/rnabricks,301,PL,"(52.2298,21.0118)",http://web.archive.org/web/20230326192150/https://iimcb.genesilico.pl/rnabricks/
24253300,InvFEST,0.995598376,InvFEST,0.995598376,,0,1,2013-11-18,http://invfestdb.uab.cat,200,ES,"(41.4911,2.1408)",http://web.archive.org/web/20230601125714/http://invfestdb.uab.cat/
24273012,SpliceProt,0.991778851,SpliceProt,0.991778851,,0,1,2014-02-01,http://lbbc.inca.gov.br/spliceprot,"HTTPConnectionPool(host='lbbc.inca.gov.br', port=80): Pool is closed.",,,no_wayback
24297255,iPfam,0.995806396,iPfam,0.995806396,,0,1,2013-12-01,http://ipfam.org,301,US,"(37.7621,-122.3971)",http://web.archive.org/web/20240122134127/https://www.ipfam.org/
24525374,lncRNAMap,0.98099345,lncRNAMap,0.98099345,,0,1,2014-01-23,http://lncRNAMap.mbc.nctu.edu.tw,"HTTPConnectionPool(host='lncrnamap.mbc.nctu.edu.tw', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7bb29f19c9d0>: Failed to establish a new connection: [Errno -2] Name or service not known'))",,,no_wayback
24705204,SysPTM,0.994190574,SysPTM,0.994190574,,0,1,2014-04-03,http://lifecenter.sgst.cn/SysPTM,"HTTPConnectionPool(host='lifecenter.sgst.cn', port=80): Max retries exceeded with url: /SysPTM (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7bb29f19c6d0>: Failed to establish a new connection: [Errno -2] Name or service not known'))",,,http://web.archive.org/web/20180830182852/http://lifecenter.sgst.cn:80/SysPTM/
24813212,lncRNAtor,0.842248619,lncRNAtor,0.842248619,,0,1,2014-05-09,http://lncrnator.ewha.ac.kr,"HTTPConnectionPool(host='lncrnator.ewha.ac.kr', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7bb29f048a60>, 'Connection to lncrnator.ewha.ac.kr timed out. (connect timeout=5)'))",,,no_wayback
24948109,BrassicaTED,0.992530644,BrassicaTED,0.992530644,,0,1,2014-06-20,http://im-crop.snu.ac.kr/BrassicaTED/index.php,404,,,no_wayback
25097383,IntergenicDB,0.977055252,IntergenicDB,0.977055252,,0,1,2014-06-30,http://intergenicdb.bioinfoucs.com,200,BR,"(-23.5475,-46.6361)",http://web.archive.org/web/20240420005231/http://intergenicdb.bioinfoucs.com/
